STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
53,98382,5398382,B5,G6350,S,444691010,73303,+48.0143822,-123.0779881,N
53,98326,5398326,B5,G6350,S,754265256,32608375,+48.1797346,-124.4116596,N
53,98642,5398642,B5,G6350,S,147852512,7740811,+45.8076953,-122.6939081,N
53,98665,5398665,B5,G6350,S,20802164,240822,+45.6795005,-122.6605601,N
53,98629,5398629,B5,G6350,S,100148090,450193,+45.8766043,-122.6191804,N
53,98685,5398685,B5,G6350,S,25188829,387897,+45.7151915,-122.6931078,N
53,98671,5398671,B5,G6350,S,223526619,16163054,+45.6144200,-122.2384467,N
53,98626,5398626,B5,G6350,S,353415991,2381711,+46.1720875,-122.7740058,N
53,98632,5398632,B5,G6350,S,334435769,21162011,+46.2106936,-123.0572424,N
53,98850,5398850,B5,G6350,S,58790268,7071904,+47.3099236,-120.0759826,N
53,99160,5399160,B5,G6350,S,233031766,0,+48.8387095,-118.3063228,N
53,98552,5398552,B5,G6350,S,237437008,2146752,+47.3151758,-123.9241977,N
53,98571,5398571,B5,G6350,S,22678197,2808096,+47.1946259,-124.1708591,N
53,98562,5398562,B5,G6350,S,2542358,68180,+47.2383922,-124.2003249,N
53,98559,5398559,B5,G6350,S,40625,0,+46.9588222,-123.3273641,N
53,98277,5398277,B5,G6350,S,146129625,38187570,+48.3158559,-122.6285815,N
53,98339,5398339,B5,G6350,S,14902871,2640384,+48.0240052,-122.7490327,N
53,98119,5398119,B5,G6350,S,6308526,1626237,+47.6386789,-122.3709456,N
53,98177,5398177,B5,G6350,S,14752872,3576381,+47.7422386,-122.3766077,N
53,98102,5398102,B5,G6350,S,3396112,644264,+47.6371398,-122.3218912,N
53,98199,5398199,B5,G6350,S,10815353,3889313,+47.6513707,-122.4073486,N
53,98118,5398118,B5,G6350,S,16178230,6840313,+47.5402459,-122.2685446,N
53,98115,5398115,B5,G6350,S,17051603,5468537,+47.6857460,-122.2815885,N
53,98134,5398134,B5,G6350,S,8738521,1888144,+47.5775985,-122.3380449,N
53,98042,5398042,B5,G6350,S,73577362,3128023,+47.3677371,-122.1170289,N
53,98007,5398007,B5,G6350,S,11341201,25498,+47.6138254,-122.1443652,N
53,98039,5398039,B5,G6350,S,3737877,11129640,+47.6316952,-122.2404046,N
53,98010,5398010,B5,G6350,S,38991722,2630485,+47.3120360,-122.0004175,N
53,98050,5398050,B5,G6350,S,8567888,797,+47.5452689,-121.9392880,N
53,98288,5398288,B5,G6350,S,547876467,10860402,+47.6615525,-121.2787860,N
53,98359,5398359,B5,G6350,S,36315365,3228804,+47.4310790,-122.5749164,N
53,98383,5398383,B5,G6350,S,46551571,4025318,+47.6624697,-122.7161658,N
53,98345,5398345,B5,G6350,S,1272139,458761,+47.6986224,-122.6238504,N
53,98342,5398342,B5,G6350,S,6208869,2121961,+47.7553263,-122.5115056,N
53,98946,5398946,B5,G6350,S,47267202,231638,+47.0802898,-120.7246202,N
53,98605,5398605,B5,G6350,S,111955065,6589628,+45.7768915,-121.6654591,N
53,99356,5399356,B5,G6350,S,649184081,41655807,+45.8247503,-120.3214534,N
53,98619,5398619,B5,G6350,S,386699373,136260,+45.9758812,-121.2747475,N
53,98532,5398532,B5,G6350,S,835383096,2778310,+46.6262903,-123.0526710,N
53,98336,5398336,B5,G6350,S,179111986,80154,+46.5822379,-122.0740302,N
53,98544,5398544,B5,G6350,S,260229,0,+46.7389714,-123.0269882,N
53,98827,5398827,B5,G6350,S,825195816,11495832,+48.8686620,-119.7707225,N
53,98856,5398856,B5,G6350,S,1174332087,864578,+48.3430275,-120.2639475,N
53,98586,5398586,B5,G6350,S,350850902,101786697,+46.5514427,-123.8308110,N
53,98614,5398614,B5,G6350,S,73305884,8813383,+46.2969900,-123.9093153,N
53,99139,5399139,B5,G6350,S,530363412,7158998,+48.7529472,-117.4076262,N
53,98465,5398465,B5,G6350,S,4304096,1722544,+47.2517609,-122.5360654,N
53,98421,5398421,B5,G6350,S,17280014,4160149,+47.2606371,-122.4002088,N
53,98360,5398360,B5,G6350,S,179987033,3890012,+47.0407155,-122.1447090,N
53,98390,5398390,B5,G6350,S,25032472,444332,+47.2094449,-122.2273189,N
53,98446,5398446,B5,G6350,S,28470498,55859,+47.1318794,-122.3758252,N
53,98438,5398438,B5,G6350,S,2204010,0,+47.1316307,-122.4969670,N
53,98303,5398303,B5,G6350,S,20071339,35046095,+47.1574053,-122.6935355,N
53,98286,5398286,B5,G6350,S,19964274,24225048,+48.5688139,-122.9575386,N
